,Italiano,English
0,e,And
1,non,Not
2,che,That
3,di,Of
4,la,there
5,il,The
6,un,a
7,a,to
8,per,For
9,è,And
10,in,in
11,una,a
12,mi,me
13,sono,I am
14,ho,I have
15,l',L'
16,si,Yes
17,ha,has
18,ma,but
19,lo,the
20,cosa,What
21,con,with
22,no,no
23,le,the
24,ti,you
25,se,self
26,da,from
27,i,the
28,come,as
29,io,I
30,ci,There
31,hai,you have
32,questo,This
33,bene,Well
34,qui,here
35,sei,six
36,del,of the
37,tu,you
38,solo,Alone
39,mio,my
40,al,to the
41,me,myself
42,tutto,All
43,c',there
44,te,you
45,era,era
46,della,from the
47,mia,my
48,fatto,Done
49,fare,Do
50,essere,to be
51,so,I know
52,quando,when
53,sì,Yes
54,ora,Now
55,lei,she
56,gli,The
57,ne,neither
58,oh,Oh
59,questa,this
60,detto,said
61,ok,ok
62,va,it goes
63,perche,Why
64,quello,that
65,mai,never
66,alla,at the
67,o,or
68,anche,Also
69,stato,state
70,abbiamo,we have
71,tutti,everyone
72,dei,of the
73,grazie,Thank you
74,chi,who
75,sta,is
76,molto,Very
77,più,more
78,voglio,I want
79,perché,Why
80,tuo,your
81,beh,Well
82,sia,is
83,nel,In the
84,lui,he
85,allora,At that time
86,posso,I can
87,piu,more
88,ehi,Hey
89,prima,Before
90,tua,your
91,suo,his
92,niente,Nothing
93,qualcosa,something
94,sai,you know
95,siamo,we are
96,un',a
97,cosi,Like this
98,davvero,Really
99,ancora,Still
100,hanno,they have
101,stai,you are
102,fa,does
103,sua,her
104,così,Like this
105,casa,home
106,uno,one
107,dove,Where
108,su,on
109,vero,True
110,vuoi,you want
111,noi,we
112,due,two
113,quindi,Therefore
114,dire,to say
115,d',d '
116,delle,from the
117,quella,that
118,sempre,Always
119,altro,other
120,sto,this
121,andare,go
122,ad,to
123,po,bit
124,loro,They
125,devo,I have to
126,quel,that
127,forse,Perhaps
128,li,there
129,proprio,own
130,certo,Certain
131,tempo,time
132,nella,in the
133,poi,Then
134,vi,you
135,credo,I believe
136,vita,life
137,cose,things
138,sul,on the
139,quanto,How much
140,puoi,you can
141,fuori,out
142,anni,years
143,cui,which
144,andiamo,let's go
145,dell',of
146,parte,part
147,visto,view
148,qualcuno,someone
149,all',at
150,lavoro,Work
151,voi,you
152,ciao,HI
153,dio,God
154,volta,time
155,dopo,After
156,adesso,Now
157,stata,was
158,uomo,man
159,padre,father
160,devi,you have to
161,bisogno,need
162,gia,Already
163,amico,Friend
164,ed,and
165,posto,place
166,nessuno,Nobody
167,via,Street
168,cos',so
169,fai,you do
170,signore,Gentleman
171,meglio,Better
172,cazzo,fuck
173,dai,come on
174,dal,from the
175,vuole,wants
176,sembra,it seems
177,giorno,day
178,ogni,Everything is fine
179,modo,way
180,senza,without
181,vedere,see
182,dobbiamo,we have to
183,signor,Mr
184,qualche,some
185,dispiace,sorry
186,penso,I think
187,ecco,Here you are
188,parlare,speak
189,tra,Between
190,mamma,mom
191,già,Already
192,sarebbe,would be
193,dalla,from the
194,troppo,too
195,fosse,is
196,possiamo,we can
197,ce,there is
198,nuovo,new
199,male,bad
200,madre,mother
201,avete,you have
202,tanto,much
203,favore,favor
204,successo,success
205,vai,Go
206,sulla,on the
207,giusto,Right
208,sa,know
209,miei,my
210,aspetta,Wait
211,avere,have
212,altra,other
213,farlo,to do it
214,alle,to
215,facendo,doing
216,abbia,have
217,momento,moment
218,ero,I was
219,ragazzi,Boys
220,deve,needs to
221,persone,people
222,nostro,our
223,tipo,guy
224,prego,Please
225,grande,great
226,può,can
227,senti,feel
228,appena,as soon as
229,potrebbe,could be
230,soldi,money
231,dice,He says
232,sapere,know
233,tre,Three
234,oggi,Today
235,questi,these
236,piace,pleases
237,idea,idea
238,siete,you are
239,ai,to the
240,avevo,I had
241,figlio,son
242,accordo,agreement
243,gente,people
244,sicuro,Safe
245,vieni,You come
246,degli,of the
247,guarda,Look
248,dentro,inside
249,trovato,found
250,queste,these
251,caso,case
252,forza,Force
253,dov',where to
254,tutte,all
255,pensi,think
256,signora,Lady
257,faccio,I do
258,nome,first name
259,avuto,had
260,problema,problem
261,altri,others
262,puo,can
263,aver,have
264,mondo,world
265,tutta,all
266,preso,taken 
267,nulla,Nothing
268,nostra,our
269,donna,woman
270,stare,to stay
271,basta,Enough
272,insieme,Together
273,faccia,face
274,ragazza,lass
275,subito,right away
276,famiglia,family
277,ragazzo,lad
278,volevo,I wanted
279,okay,okay
280,sentito,sense
281,ah,Ah
282,stesso,same
283,ragione,reason
284,sarà,will be
285,tuoi,your
286,capito,Understood
287,notte,Night
288,volte,times
289,testa,head
290,serve,serve
291,tesoro,treasure
292,sotto,under
293,eh,eh
294,suoi,his
295,vado,I go
296,sara,will be
297,dato,given
298,stiamo,we are
299,bella,Pretty
300,scusa,Excuse me
301,erano,they were
302,pensavo,I thought
303,avrei,I would have
304,prendere,take
305,buona,Good
306,porta,brings
307,bello,Handsome
308,moglie,wife
309,vorrei,I would like
310,storia,history
311,succede,happens
312,morto,died
313,cercando,looking for
314,dici,you say
315,persona,person
316,pronto,ready
317,meno,less
318,dovuto,due
319,avanti,after you
320,capisco,I understand
321,secondo,second
322,venire,come
323,polizia,police
324,lì,there
325,avrebbe,it would have
326,stanno,they are
327,mentre,While
328,letto,Bed
329,fino,until
330,dico,I say
331,amici,friends
332,fine,end
333,aiuto,help
334,paura,fear
335,fratello,Brother
336,stavo,I was
337,uomini,men
338,nell',in the'
339,domani,Tomorrow
340,facciamo,we do
341,abbastanza,Enough
342,capo,boss
343,amore,Love
344,nei,in the
345,ucciso,killed
346,state,state
347,piano,floor
348,macchina,machine
349,trovare,find
350,comunque,Anyway
351,vediamo,We see
352,giorni,days
353,nemmeno,neither
354,mano,hand
355,dall',from
356,presto,Soon
357,stati,States
358,merda,shit
359,far,do
360,bambino,child
361,andato,left
362,vedo,I see
363,tornare,return
364,quelle,those
365,cio,that is
366,primo,first
367,vostro,your
368,neanche,not even
369,sera,evening
370,giro,tour
371,morte,death
372,e',And'
373,qua,here
374,pensato,thought
375,buon,Good
376,anno,year
377,mie,my
378,diavolo,devil
379,quasi,Almost
380,piacere,Pleasure
381,bel,nice
382,dovrei,I should
383,nessun,no
384,contro,against
385,stessa,same
386,felice,happy
387,colpa,guilt
388,punto,point
389,andata,outward
390,dovrebbe,should
391,vedi,you see
392,quale,Which
393,chiesto,asked
394,invece,Instead
395,perchè,Why
396,migliore,improve
397,nostri,our
398,finito,finished
399,figlia,Daughter
400,dovresti,you should
401,papa,Pope
402,almeno,at least
403,sento,I feel
404,quei,those
405,col,with the
406,ore,hours
407,passato,past
408,magari,Perhaps
409,minuti,minutes
410,terra,Earth
411,vostra,your
412,strada,street
413,sola,lonely
414,credi,believe
415,importante,important
416,sue,his
417,salve,Greetings
418,settimana,week
419,perso,lost
420,uscire,go out
421,parlato,spoke
422,papà,Pope
423,stasera,this evening
424,scusi,Excuse me
425,dollari,dollars
426,occhi,eyes
427,mani,hands
428,ultima,last
429,possibile,possible
430,scuola,school
431,significa,it means
432,sapevo,I knew
433,nelle,in
434,potrei,I could
435,stava,was
436,bambini,children
437,eri,you was
438,importa,it matters
439,indietro,backwards
